"X","fov","volume","center_x","center_y"
56727,1678,754.163542764994,6203.20932327066,7937.3839972749
57281,1678,641.1947655265,6254.98260430999,7854.06327604217
4722,1680,523.024077006773,6727.08837977653,7858.83704595592
14150,1681,273.579624216515,6939.93273963359,7846.3591943116
14313,1681,134.379554949045,6925.16480914285,7912.14780807145
14311,1682,475.934946746847,7035.29781761174,7911.54408237787
14512,1683,299.260349167913,7182.93769514379,8021.33897003199
57984,1683,711.628343816103,7343.66440070877,7950.56054999599
57891,1684,703.214891048967,7438.4023298111,7902.60688566677
16380,1687,432.447385295415,8064.27318585089,7912.30099082366
16389,1687,272.151350638372,8055.93084797331,7911.80501658293
37961,1688,375.780069979691,8247.43932039019,8017.36927371922
66640,1689,607.407452428453,8965.44319214972,7875.58152491764
67861,1690,1973.56486337669,9054.72987849885,7811.08375934161
69273,1693,254.944169196609,9679.97653986074,7979.16161579768
69296,1694,343.523451213348,9891.28960362845,7988.4120972908
69830,1694,446.753691040677,9858.19780416545,7885.55232892723
41101,1702,375.521616778223,9983.32821445085,7995.57815155447
69580,1703,721.763493807076,9826.65086635337,8115.43781519082
70080,1704,304.273879435023,9688.81954803068,8106.20128187097
68765,1705,300.412097355692,9488.72938668437,8121.87993974679
68251,1706,289.304714454164,9187.6784451486,8055.79218723075
9262,1706,280.741227907265,9174.41456887136,8178.71764459817
68326,1707,473.437116377728,9028.76242337512,8091.84758975724
68776,1707,863.385495499355,9131.25456218522,8128.90581050603
65763,1708,1116.09025424154,8901.60396236486,8200.94683100744
38025,1710,177.395007075022,8280.64047075217,8042.14232113657
38206,1710,392.259761509062,8218.23818578071,8118.89836246413
16082,1711,216.135516329381,8113.61104772506,8034.53909712281
16121,1711,236.766154014117,8116.42501867082,8052.60449234908
13574,1712,1607.90938154048,7852.17641292078,8219.81290242983
54780,1713,1361.34168747913,7587.15906436775,8148.94498640329
54789,1713,460.783971751993,7669.83446931104,8154.83283706509
54791,1713,895.269175142353,7589.23326711839,8161.73959070328
58211,1713,231.811294707051,7703.38106313943,8136.35850317544
58168,1714,850.036108266479,7367.82679510415,8086.05583749707
58177,1714,945.806441468267,7393.69190326413,8091.25473693644
14608,1715,799.678707408366,7197.72490460021,8068.57858723752
13301,1717,329.794282441971,6807.82288229398,8225.71630881691
15093,1717,151.910186485685,6953.10413949325,8089.78447228494
4967,1717,256.867645327026,6822.17538337138,8058.82272427337
64199,1717,929.935004416198,6889.260953768,8195.60316219343
12815,1718,220.582571788647,6682.67871777319,8199.39826539658
5477,1719,177.758926377855,6479.27286414488,8140.38269010192
57472,1719,511.526838515746,6374.20648797245,8127.70792953433
66959,1719,1428.08535970481,6450.45007860234,8182.53646894051
56926,1720,1101.69170875757,6203.19171045577,8068.53156906776
57478,1720,344.779071369372,6261.67022749746,8132.52961540623
67456,1720,874.134045140076,6346.32137240286,8187.68253337736
62834,1722,652.6289498064,5800.35991152752,8161.45188689609
62807,1723,1210.93495395789,5715.46177665637,8139.5852324658
70224,1724,787.070561238975,5360.98780619988,8207.02237840682
71036,1724,809.731122719543,5407.11397157279,8138.33962210272
71077,1724,452.073236803932,5383.10584081646,8233.70048070317
56120,1725,628.925420463127,5234.95175329619,8132.90896015462
41164,1726,708.719321535074,5135.83846308979,8208.39769759063
41314,1726,475.553127081106,5070.82136670388,8201.35808045261
41315,1726,447.12684034132,5113.04829325615,8209.10625284789
52061,1731,469.947227284066,5746.2449803777,8281.2605779575
52131,1731,665.912586197943,5672.07144945024,8394.57061597869
52044,1732,940.521311567767,5812.05794966374,8260.47039614373
52415,1733,237.873837084055,5970.88003466048,8403.61235206253
67629,1733,370.215549869786,6062.52571145413,8447.29111604033
67061,1735,448.807506971064,6425.41773496107,8282.7974012027
13345,1736,177.168418534985,6735.75570469841,8286.65821791427
13373,1736,173.995835062087,6745.71741348568,8310.85772511274
13406,1736,256.818586069088,6727.58769770848,8350.44658449772
64545,1737,443.165678620432,6884.59301766584,8380.76250385641
64661,1737,319.675481964044,6929.05553344968,8430.56562147424
65126,1738,421.836189227879,6985.8015133027,8301.88810093996
